timestamp,2a. high (CNY),1b. open (USD),4b. close (USD),5. volume,1a. open (CNY),3a. low (CNY),6. market cap (USD),4a. close (CNY),2b. high (USD),3b. low (USD)
2014-08-17,3200.83422618,519.74987753,486.02480858,221018.59634317,3196.76060300,2942.08493896,107420520.98080681,2988.68222188,520.41219336,478.35061583
2014-08-18,3021.16042017,485.32605267,459.51281918,273233.57544998,2984.38540546,2767.12360828,125554330.54852486,2824.03620404,491.30806879,450.24203427
2014-08-19,2977.32261229,459.69701032,484.59910277,262670.94106042,2825.16819085,2791.86696962,127290102.36051174,2977.32261229,484.59910277,454.28283995
2014-08-20,3170.23928202,485.34303139,510.59939142,296463.94541726,2981.89322642,2867.16681030,151374310.10936117,3136.15711746,516.09455018,466.43586625
2014-08-21,3280.72181855,510.16545630,515.21398563,302227.95064028,3133.49184066,3128.17812402,155712067.01741952,3169.66753911,533.82064425,508.37918573
2014-08-22,3196.55434812,514.42975788,509.17054550,199191.37067151,3164.84286180,3060.65458693,101422378.86383164,3133.40549595,519.43207582,496.81265240
2014-08-23,3149.67910037,508.49757948,497.10465375,171356.16440707,3129.26410273,3023.13982781,85181946.77613340,3059.01153230,511.81496546,491.27532259
2014-08-24,3142.26921184,496.87736281,507.21627826,150753.70040752,3057.61286180,3045.44619919,76464730.85521790,3121.28623010,510.62606164,494.89209670
2014-08-25,3122.94415754,507.32496043,499.09977365,108897.04142683,3121.95503386,3058.37208315,54350488.72707529,3072.33742443,507.48569533,496.83111051
2014-08-26,3143.41952928,498.83792246,508.94235886,135397.21454133,3070.72553191,3070.31486018,68909377.75223285,3132.91378250,510.68386264,498.72583908
2014-08-27,3197.50039779,510.18746170,510.35420458,143896.63624544,3140.57830436,3132.44695824,73438253.33313254,3137.48208793,520.16776776,509.44027439
2014-08-28,3171.65583996,510.20151317,507.31065449,113582.59429361,3136.54339364,3100.78157569,57621660.25030538,3118.30618510,515.97488758,504.45961276
2014-08-29,3131.97392239,507.71994683,507.39307854,98269.82095700,3120.82199828,3085.33471707,49861426.98334125,3118.98026393,509.50687594,501.81842147
2014-08-30,3129.14479436,507.37173357,502.58913580,75728.26657820,3118.84905493,3079.13799741,38060204.05535366,3089.55463497,509.04663578,500.89462333
2014-08-31,3090.67483534,502.55122834,477.70659172,112601.74806888,3089.32160730,2926.42935882,53790597.29222868,2935.82229250,503.02264561,476.34872837
2014-09-01,2963.15710046,477.85654338,471.23121659,125202.56057078,2936.74384437,2894.36145373,58999354.93758326,2896.48676020,481.92418244,470.88544917
2014-09-02,2954.24859622,470.84603382,474.24569449,134721.16293447,2894.11918196,2878.05962121,63890931.47837371,2917.25314978,480.25989014,468.23329399
2014-09-03,2945.29392826,473.66854764,473.91461214,96308.09160768,2913.70291521,2909.83676492,45641811.88015703,2912.89862868,479.18984946,473.30597152
2014-09-04,3028.39207674,473.89954122,488.41058986,129625.34145387,2912.80599580,2908.60486563,63310389.47976258,3000.40735448,492.96598287,473.31044606
2014-09-05,3010.80126594,488.36928656,480.83937322,108354.15425870,3000.15361978,2951.31242752,52100943.61953785,2954.28143662,490.03057497,480.35613677
2014-09-06,2978.31616825,481.57861163,482.47690610,81191.25030892,2958.82332407,2949.48025201,39172903.25135566,2964.62614979,484.70488272,480.01199298
2014-09-07,2986.46402869,482.44991680,482.32538950,73174.65769368,2964.46031144,2959.36768601,35293995.27394500,2963.57986560,486.04980841,481.63985334
2014-09-08,2962.01679232,482.07099787,474.65053339,109401.22132052,2962.01679232,2882.85512925,51927348.05288988,2916.45128105,482.07099787,469.16521976
2014-09-09,2922.60396701,474.58906053,472.90031352,108461.29429245,2916.07356611,2869.61861068,51291380.07578148,2904.45441658,475.65187899,467.09377147
2014-09-10,2965.10620420,473.03848106,477.44316842,111526.31459029,2905.30301258,2894.82104230,53247477.00001530,2929.10763149,483.29358801,471.35944598
2014-09-11,2948.09526646,478.14213030,477.32710839,91978.05744610,2933.39575354,2911.37015471,43903620.19643352,2927.74596255,480.54135545,474.69751130
2014-09-12,2928.24591463,477.40861843,476.07023131,99997.59822642,2928.24591463,2895.71129566,47605879.71843892,2921.32261430,477.40861843,471.81423911
2014-09-13,2940.72276399,475.84709784,477.75409139,78077.98159455,2919.95339437,2912.05411303,37302075.15427406,2931.81251145,479.20606337,474.53435764
2014-09-14,2935.41268554,478.11380785,476.17246297,83816.87568807,2934.01996760,2909.42081326,39911288.13518873,2922.29135686,478.32844299,474.09304132
2014-09-15,2924.17049870,476.47865955,473.85311312,65186.36594295,2924.17049870,2904.98660133,30888762.43473900,2910.73941335,476.47865955,472.90965664
2014-09-16,2910.74643430,473.52448620,464.86811537,95181.47649747,2908.72075548,2841.49355014,44246833.59758094,2857.72699835,473.70626877,462.23793785
2014-09-17,2869.06945711,464.84353245,459.23082417,101684.40474604,2857.57587748,2801.30419622,46696612.99712015,2820.69629362,466.82133560,456.04988364
2014-09-18,2822.69005325,459.39752373,422.18970007,214380.33766989,2821.72019881,2527.96572978,90509170.46109471,2593.35469513,459.55542341,411.57139042
2014-09-19,2619.21234334,422.61672418,394.06393036,296686.12359089,2595.97774586,2366.68217518,116913299.94517048,2421.14376255,426.44027004,385.24117760
2014-09-20,2611.71363479,394.42412194,408.64746291,319413.84711912,2423.35679329,2377.02553458,130527658.24395125,2510.32054737,425.15293588,386.94877234
2014-09-21,2530.19211175,406.63561057,399.12463085,263276.93092346,2497.96174249,2420.27299937,105080307.86732645,2451.68690496,411.88229456,393.98620217
2014-09-22,2502.66626572,399.21165845,402.37663283,196205.48495244,2452.22148587,2441.44617141,78948502.37804830,2471.36106495,407.47162390,397.41348703
2014-09-23,2694.64176886,402.68466865,435.06647639,266624.18893059,2473.25299323,2420.43163228,115999246.39719503,2671.29467795,438.80606230,394.19882421
2014-09-24,2674.30293408,435.19970236,423.10756377,243549.36148041,2672.11268130,2586.56834160,103047576.99254780,2596.78924711,435.55642286,421.48205267
2014-09-25,2604.31888494,423.33807285,411.13684786,199289.05052493,2598.20397844,2510.11086241,81935072.04645775,2523.01609382,424.36344477,409.01388702
2014-09-26,2546.49242106,411.02644259,402.82624825,182992.82137683,2522.33857178,2447.05683444,73714311.69126518,2469.65642775,414.92854638,399.19732279
2014-09-27,2486.76886613,403.05655245,397.94584982,127139.51897843,2471.06838206,2418.44142076,50594643.92598864,2439.98866241,405.57538852,394.43163866
2014-09-28,2449.00163694,397.81428898,377.35925861,183318.05655817,2439.18200252,2290.22771618,69176765.91178061,2313.64169009,399.40544844,373.51115418
2014-09-29,2375.00133424,377.09059813,376.41493809,242704.27027569,2311.99449566,2285.58454313,91357512.86963208,2314.95111641,386.45946608,372.44351438
2014-09-30,2418.47030337,377.47127518,387.92106986,233382.10455518,2321.44758739,2302.59988876,90533835.68579446,2382.57940157,393.40597350,374.30679256
2014-10-01,2420.72946046,388.10326856,383.40808614,195060.20020332,2383.69845100,2343.09985006,74787658.04279812,2354.82920276,394.15129717,381.47846319
